14D,1414 DEGREES LIMITED
APZ,ASPEN GROUP
AQC,AUSTRALIAN PACIFIC COAL LIMITED
AQD,AUSQUEST LIMITED
AQI,ALICANTO MINERALS LIMITED
AQN,AQUIRIAN LIMITED
AQX,ALICE QUEEN LIMITED
AQZ,ALLIANCE AVIATION SERVICES LIMITED
AR1,AUSTRAL RESOURCES AUSTRALIA LTD
AR3,AUSTRALIAN RARE EARTHS LIMITED
AR9,ARCHTIS LIMITED
ARA,ARIADNE AUSTRALIA LIMITED
ARB,ARB CORPORATION LIMITED.
ARC,ARC FUNDS LIMITED
ARD,ARGENT MINERALS LIMITED
ARF,ARENA REIT.
ARG,ARGO INVESTMENTS LIMITED
ARI,ARIKA RESOURCES LIMITED
ARL,ARDEA RESOURCES LIMITED
ARN,ALDORO RESOURCES LIMITED
ARR,AMERICAN RARE EARTHS LIMITED
ART,AIRTASKER LIMITED
ARU,ARAFURA RARE EARTHS LTD
ARV,ARTEMIS RESOURCES LIMITED
ARX,AROA BIOSURGERY LIMITED
AS1,ASARA RESOURCES LIMITED
AS2,ASKARI METALS LIMITED
ASB,AUSTAL LIMITED
ASE,ASTUTE METALS NL
ASG,AUTOSPORTS GROUP LIMITED.
ASH,ASHLEY SERVICES GROUP LIMITED
ASK,ABACUS STORAGE KING
ASL,ANDEAN SILVER LIMITED
ASM,AUSTRALIAN STRATEGIC MATERIALS LIMITED
ASN,ANSON RESOURCES LIMITED
ASO,ASTON MINERALS LIMITED
ASP,ASPERMONT LIMITED.
ASQ,AUSTRALIAN SILICA QUARTZ GROUP LTD
ASR,ASRA MINERALS LIMITED
ASV,ASSET VISION CO LTD
ASX,ASX LIMITED
AT1,ATOMO DIAGNOSTICS LIMITED
ATA,ATTURRA LIMITED
ATC,ALTECH BATTERIES LTD
ATG,ARTICORE GROUP LIMITED
ATH,ALTERITY THERAPEUTICS LIMITED
ATM,ANEKA TAMBANG (PERSERO) TBK (PT)
ATP,ATLAS PEARLS LTD
ATR,ASTRON CORPORATION LIMITED
ATS,AUSTRALIS OIL & GAS LIMITED
ATV,ACTIVEPORT GROUP LTD
ATX,AMPLIA THERAPEUTICS LIMITED
AU1,THE AGENCY GROUP AUSTRALIA LTD
AUA,AUDEARA LIMITED
AUB,AUB GROUP LIMITED
AUC,AUSGOLD LIMITED
AUE,AURUM RESOURCES LIMITED
AUG,AUGUSTUS MINERALS LIMITED
AUH,AUSTCHINA HOLDINGS LIMITED
AUI,AUSTRALIAN UNITED INVESTMENT COMPANY LIMITED
AUK,AUMAKE LIMITED.
AUN,AURUMIN LIMITED
AUQ,ALARA RESOURCES LIMITED
AUR,AURIS MINERALS LIMITED
AUZ,AUSTRALIAN MINES LIMITED
AV1,ADVERITAS LIMITED
AVA,AVA RISK GROUP LIMITED
AVD,AVADA GROUP LIMITED
AVE,AVECHO BIOTECHNOLOGY LIMITED
AVG,AUSTRALIAN VINTAGE LTD
AVH,AVITA MEDICAL INC.
AVJ,AVJENNINGS LIMITED
AVL,AUSTRALIAN VANADIUM LIMITED
AVM,ADVANCE METALS LIMITED
AVR,ANTERIS TECHNOLOGIES GLOBAL CORP.
AVW,AVIRA RESOURCES LTD
AW1,AMERICAN WEST METALS LIMITED
AWJ,AURIC MINING LIMITED
AX1,ACCENT GROUP LIMITED
AX8,ACCELERATE RESOURCES LIMITED
AXE,ARCHER MATERIALS LIMITED
AXI,AXIOM PROPERTIES LIMITED
AXL,AXEL REE LIMITED
AXN,ALLIANCE NICKEL LIMITED
AXP,AXP ENERGY LIMITED
AYA,ARTRYA LIMITED
AYI,A1 INVESTMENTS & RESOURCES LTD
AYM,AUSTRALIA UNITED MINING LIMITED
AYT,AUSTIN METALS LIMITED
AZ9,ASIAN BATTERY METALS PLC
AZI,ALTAMIN LIMITED
AZJ,AURIZON HOLDINGS LIMITED
AZL,ARIZONA LITHIUM LIMITED
AZY,ANTIPA MINERALS LIMITED
B4P,BEFOREPAY GROUP LIMITED
BAP,BAPCOR LIMITED
BAS,BASS OIL LIMITED
BB1,BLINKLAB LIMITED
BBC,BNK BANKING CORPORATION LIMITED
BBL,BRISBANE BRONCOS LIMITED
BBN,BABY BUNTING GROUP LIMITED
BBT,BETR ENTERTAINMENT LIMITED
BC8,BLACK CAT SYNDICATE LIMITED
BCA,BLACK CANYON LIMITED
BCB,BOWEN COKING COAL LIMITED
BCC,BEAM COMMUNICATIONS HOLDINGS LIMITED
BCI,BCI MINERALS LIMITED
BCK,BROCKMAN MINING LIMITED
BCM,BRAZILIAN CRITICAL MINERALS LIMITED
BCN,BEACON MINERALS LIMITED
BCT,BLUECHIIP LIMITED
BDG,BLACK DRAGON GOLD CORP.
BDM,BURGUNDY DIAMOND MINES LIMITED
BDT,BIRDDOG TECHNOLOGY LIMITED
BDX,BCAL DIAGNOSTICS LIMITED
BEL,BENTLEY CAPITAL LIMITED
BEN,BENDIGO AND ADELAIDE BANK LIMITED
BEO,BEONIC LTD
BET,BETMAKERS TECHNOLOGY GROUP LTD
BEZ,BESRA GOLD INC.
BFC,BESTON GLOBAL FOOD COMPANY LIMITED
BFG,BELL FINANCIAL GROUP LIMITED
BFL,BSP FINANCIAL GROUP LIMITED
BGA,BEGA CHEESE LIMITED
BGD,BARTON GOLD HOLDINGS LIMITED
BGE,BRIDGE SAAS LIMITED
BGL,BELLEVUE GOLD LIMITED
BGP,BRISCOE GROUP AUSTRALASIA LIMITED
BGT,BIO-GENE TECHNOLOGY LTD
BHD,BENJAMIN HORNIGOLD LIMITED
BHP,BHP GROUP LIMITED
BIM,BINDI METALS LIMITED
BIO,BIOME AUSTRALIA LIMITED
BIS,BISALLOY STEEL GROUP LIMITED
BIT,BIOTRON LIMITED
BKI,BKI INVESTMENT COMPANY LIMITED
BKT,BLACK ROCK MINING LIMITED
BKW,BRICKWORKS LIMITED
BKY,BERKELEY ENERGIA LIMITED
BLG,BLUGLASS LIMITED
BLU,BLUE ENERGY LIMITED.
BLX,BEACON LIGHTING GROUP LIMITED
BLZ,BLAZE MINERALS LIMITED
BM8,BATTERY AGE MINERALS LTD
BMG,BMG RESOURCES LIMITED
BMH,BAUMART HOLDINGS LIMITED
