XVG ,$ Aedge Group                 
UQAW,Bilibili 5xShortSG280120      
JZAW,Bilibili MB eCW261005         
41H ,BlackGoldNatural              
5VI ,Boldtek                       
B28 ,Bonvests                      
F9D ,Boustead                      
9I7 ,Bromat                        
AWC ,Brook Crompton                
B61 ,Bukit Sembawang               
P8Z ,Bumitama Agri                 
BTE ,Bund Center                   
IEYW,CATL 5xLongSG270712           
SWKW,CATL 5xLongUB270730           
HBIW,CATL 5xShortSG280120          
EZNW,CATL 5xShortSG280609          
HCCD,CATL HK SDR 30to1             
J85 ,CDL HTrust                    
BXE ,CDW                           
VNM ,CF VN 30 SC ETF SG$           
VND ,CF VN 30 SC ETF US$           
5EB ,CFM                           
GRO ,CGS FG CSI1000 S$             
GRU ,CGS FG CSI1000 US$            
C13 ,CH Offshore                   
C70 ,CITYDEV NCCPS                 
UHJW,CLIFE 5xLongUB270730          
SEKW,CLIFE 5xShortUB270730         
1W2W,CLIFE MBeCW261005             
QAMW,CLIFE MBeCW270302             
ECTW,CMOB 5xLongSG270427           
SXUW,CMOB 5xLongUB270831           
LIFW,CMOB 5xShortSG270427          
MJQW,CMOB 5xShortUB270630          
8A8 ,CMS                           
HCMD,CN Mobile HK SDR 5to1         
5TP ,CNMC Goldmine                 
MKKW,CNOOC 5xLongSG280330          
OJOW,CNOOC 5xShortSG280202         
HPRW,CNOOC 5xShortUB270630         
HDKW,CNOOC 5xShortUB280731         
SEG ,CONCORD NE                    
F83 ,COSCO SHP SG                  
TCPD,CP All TH SDR 1to1            
TPFD,CP Foods TH SDR 1to2          
C06 ,CSC                           
544 ,CSE Global                    
LCS ,CSOP APAC SELECT S$           
LCU ,CSOP APAC SELECT US$          
SUN ,CSOP CS A500 ETF S$           
SHD ,CSOP DIV ETF S$               
SQQ ,CSOP SEA TECH ETF S$          
SQU ,CSOP SEA TECH ETF US$         
SCY ,CSOP Star&Chinext50 S$        
SRT ,CSOP iEdge SREIT ETF S$       
SRU ,CSOP iEdge SREIT ETF US$      
BAC ,Camsing Hc                    
594 ,CapAllianz                    
Z5WW,CapInv 5xLongSG280725         
