XVG ,$ Aedge Group                 
G0I ,Nam Lee Metal                 
1MZ ,NamCheong                     
MZH ,Nanofilm                      
M15 ,Nanyang NewDev                
UTNW,Nasdaq 3xLongSG280309         
LKVW,Nasdaq 3xShortSG280309        
RWJW,Nasdaq 5xLongSG280330         
PPKW,Nasdaq 5xLongUB271122         
KAGW,Nasdaq 5xShortSG280406        
YUYW,Nasdaq 5xShortUB270920        
GJIW,Nasdaq 5xShortUB280918        
MFVW,Nasdaq 7xLongSG280330         
EDEW,Nasdaq 7xLongUB271122         
CXXW,Nasdaq 7xShortSG261029        
FFIW,Nasdaq 7xShortSG270519        
W5BW,Nasdaq 7xShortSG280616        
EAQW,Nasdaq 7xShortUB270920        
FNBW,Nasdaq 7xShortUB280320        
5IF ,Natural Cool                  
N01 ,NeraTel                       
5QY ,Net Pac Hldgs                 
MUSW,NetEase 5xLongSG271116        
TYFW,NetEase 5xLongUB280731        
SJRW,NetEase 5xShortSG261027       
ONWW,NetEase 5xShortSG271116       
LGTW,NetEase 5xShortUB270730       
CJLU,NetLink NBN Tr                
9E7W,Netflix 3xLongSG280725        
WWRW,Netflix 3xShortSG280725       
N08 ,New Toyo                      
5FX ,New Wave                      
N32 ,Nippecraft                    
543 ,Noel Gifts Intl               
N33 ,Nomura Yen1k                  
SEJ ,NoonTalk Media                
MR7 ,Nordic                        
AZT ,NutryFarm                     
TUAW,OCBC 5xLongSG261217           
9RWW,OCBC 5xLongSG280223           
MPOW,OCBC 5xShortSG261217          
9DAW,OCBC 5xShortSG281123          
O39 ,OCBC Bank                     
IGBW,OCBC Bk MB eCW260930          
99HW,OCBC Bk MB eCW261230          
OHBW,OCBC Bk MB eCW270225          
JXRW,OCBC Bk MB eCW270226          
SOIW,OCBC Bk MB eCW270930          
V8QW,OCBC Bk MB ePW260930          
8E3W,OCBC Bk MB ePW261229          
OGMW,OCBC Bk MB ePW270225          
92WW,OCBC Bk MB ePW270226          
JBXW,OCBC Bk MB ePW270930          
43A ,OCTOPUS                       
KUX ,OIO                           
5CF ,OKP                           
OTS ,OTS Holdings                  
LJ3 ,OUE                           
5WA ,OUE Healthcare                
TS0U,OUEREIT                       
1B6 ,Ocean Sky Intl                
V2Y ,OceanScape Intl               
579 ,Oceanus                       
HQU ,Oiltek                        
VC2 ,Olam Group                    
5ML ,Old Chang Kee                 
5SY ,OneApex                       
O08 ,Ossia Intl                    
AJ2 ,Ouhua Energy                  
RQ1 ,Overseas Edu                  
TVV ,OxPay Financial               
5UX ,Oxley                         
LSS ,P-Nova Long MSSG2X S$         
LSU ,P-Nova Long MSSG2X US$        
SSS ,P-Nova Short MSSG-1X S$       
SSU ,P-Nova Short MSSG-1X US$      
PCT ,PC Partner                    
BYJ ,PHIL AP DIV REIT S$D          
BYI ,PHIL AP DIV REIT US$          
OVQ ,PHIL SING INC                 
OVS ,PHIL SING INC USD             
MCN ,PHIL-CU MS CHINA A50 S$       
MCS ,PHIL-CU MS CHINA A50 US$      
MMS ,PHILLIP MM S$                 
MMT ,PHILLIP MM US$D               
BDA ,PNE Industries                
HPPD,POP MART HK SDR 20to1         
DM0 ,PSC Corporation               
TPED,PTTEP TH SDR 1to1             
P11 ,Pacific Andes                 
P15 ,Pacific Century               
IZGW,Pacific RadianceW270919       
RXS ,PacificRadiance               
W1AW,Palantir 3xLongSG280913       
9L2W,Palantir 3xShortSG280913      
P36 ,Pan Hong                      
P52 ,PanUnited                     
O9E ,Parkson Retail                
C2PU,ParkwayLife Reit              
UUK ,Pasture Holdings              
596 ,Pavillon                      
BTM ,Penguin Intl                  
OGIW,PetroCH 5xLongSG270427        
KFCW,PetroCH 5xLongSG280223        
VWKW,PetroCH 5xLongUB280731        
SZLW,PetroCH 5xShortSG270331       
YODW,PetroCH 5xShortSG280202       
UY7W,PetroCH 5xShortUB280731       
JJGW,PetroCH MBeCW261005           
PLMW,PetroCH MBeCW270105           
HPCD,PetroCN HK SDR 1to2           
BFK ,Pharmesis Intl                
HPAD,Ping An Ins HK SDR2to1        
ZBLW,PingAn 5xLongSG280223         
RCDW,PingAn 5xLongSG280330         
XUNW,PingAn 5xLongUB270630         
LMWW,PingAn 5xShortSG280202        
LIQW,PingAn 5xShortUB270630        
VJEW,PingAn MB eCW270105           
5BI ,Polaris                       
9VW ,Polaris E&M                   
5AE ,Pollux Prop                   
LKYW,PopMart MB eCW261005          
IAUW,Popmart 5xLongSG270706        
FNYW,Popmart 5xLongSG271216        
EIKW,Popmart 5xLongSG280316        
QBNW,Popmart 5xLongUB270730        
5K3W,Popmart 5xLongUB280731        
ZBTW,Popmart 5xShortSG270706       
KSPW,Popmart 5xShortSG280202       
IPPW,Popmart 5xShortUB270730       
BCY ,Powermatic Data               
OXMU,Prime US ReitUSD              
583 ,Progen                        
OYY ,PropNex                       
PPC ,ProsperCap                    
5HH ,ProsperaGlobal                
K6S ,Prudential USD                
QC7 ,Q&M Dental                    
Q01 ,QAF                           
BCV ,Qian Hu                       
V8Y ,Quantum Health                
T13 ,RH PetroGas                   
NR7 ,Raffles Edu                   
LUY ,Raffles Infrastructure        
BSL ,Raffles Medical               
W5UB,RafflesEd 6%cb270923          
NEX ,Reclaims Global               
UV1 ,Regal Intl                    
I11 ,Renaissance United            
V7R ,ResourcesGbl                  
5WH ,Rex Intl                      
1U8 ,RichCapital                   
AP4 ,Riverstone                    
9GPW,S&P 5800MBePW260918           
Y8AW,S&P 6900MBePW261218           
ITEW,S&P 7000MBeCW260918           
IYUW,S&P 7000MBePW260918           
9C9W,S&P 7350MBePW270319           
TDRW,S&P 7800MBeCW260918           
SWTW,S&P 7xLongSG280616            
UAHW,S&P 7xShortSG280406           
W2DW,S&P 8000MBeCW261218           
9G2 ,SAM Holdings                  
Y3QW,SAM Holdings W310623          
S58 ,SATS                          
UOOW,SATS 5xLongSG280223           
QAYW,SATS 5xLongUB270630           
MPEW,SATS MB eCW260930             
RRGW,SATS MB eCW261229             
DRYW,SATS MB eCW270212             
S61 ,SBS Transit                   
5TI ,SDAI                          
S68 ,SGX                           
JLFW,SGX 5xLongSG280516            
5YDW,SGX 5xShortSG261217           
8I3W,SGX 5xShortSG280725           
NFUW,SGX MB eCW260929              
XNIW,SGX MB eCW261230              
MYBW,SGX MB eCW270226              
566 ,SHS                           
C6L ,SIA                           
FHOW,SIA 5xLongSG280516            
Z1DW,SIA 5xLongUB261030            
ZDBW,SIA 5xShortSG270427           
S59 ,SIA Engineering               
FNVW,SIA MB eCW260930              
NVPW,SIA MB eCW261229              
X4QW,SIA MB eCW270222              
BHK ,SIIC Environment              
SLSW,SLV 3xLongSG280609            
SVSW,SLV 3xShortSG280609           
JSKW,SMIC 5xLongSG270316           
WWZW,SMIC 5xLongSG280316           
9MCW,SMIC 5xLongUB270730           
RPEW,SMIC 5xShortSG261223          
ZAXW,SMIC 5xShortSG270930          
EQLW,SMIC 5xShortSG280316          
9DFW,SMIC 5xShortSG280524          
9DDW,SMIC 5xShortUB270730          
XNFW,SMIC 5xShortUB270831          
HSMD,SMIC HK SDR 5to1              
QKMW,SMIC MB eCW270105             
EXQW,SPDR GLD US MBeCW270120       
SQGW,SPDR GLD US MBePW270120       
D07 ,SS SPDR DJIA USD              
KSB ,SS SPDR JPMSaudiAgBd USD      
S27 ,SS SPDR S&P500 USD            
ES3 ,SS SPDR STI ETF               
S63 ,ST Engineering                
DRX ,ST Group Food                 
UQKW,STEng 5xLongSG270712          
FXNW,STEng 5xLongSG280223          
9SWW,STEng 5xShortSG270712         
YTMW,STEng MBeCW260930             
PXTW,STEng MBeCW261229             
ZHGW,STEng MBeCW270222             
BHU ,SUTL Enterprise               
5DO ,Sakae                         
FQ7 ,Salt Investments              
S56 ,SamuderaShipping              
Y8E ,Samurai 2K                    
ZIPW,Sandisk 3xLongSG280726        
NNSW,Sandisk 3xShortSG280726       
WL5W,Sands 5xLongSG270331          
ZAAW,Sands 5xLongSG280223          
VCMW,Sands 5xLongUB270630          
QQOW,Sands 5xShortSG270331         
FTEW,Sands 5xShortSG280202         
XP0W,Sands 5xShortUB270630         
1E3 ,Sanli Env                     
580 ,Santak                        
BRD ,Sapphire                      
U77 ,Sarine Tech                   
CRPU,Sasseur Reit                  
UGGD,Sea US SDR 50to1              
RDCW,Seatrium 5xLongSG280223       
5E2 ,Seatrium Ltd                  
WDHW,Seatrium MB eCW260930         
UGWW,Seatrium MB eCW261230         
43B ,Secura                        
XPAW,SembInd MBeCW260930           
EHMW,SembInd MBeCW261229           
KYRW,SembInd MBeCW270225           
UZMW,Sembcorp 5xLongSG270623       
V1XW,Sembcorp 5xLongUB280731       
X7GW,Sembcorp 5xShortSG270331      
XGFW,Sembcorp 5xShortUB280731      
U96 ,Sembcorp Ind                  
XHV ,Serial Achieva                
S69 ,Serial System                 
5EW ,Sevens Atelier                
SES ,Shanaya                       
AWM ,Shanghai Turbo                
S07 ,Shangri-La HKD                
SGR ,Sheffield Green               
A78 ,Shen Yao                      
OV8 ,Sheng Siong                   
XTJW,ShengSiong MBeCW260930        
PGDW,ShengSiong MBeCW261229        
P74 ,ShengrongHldg                 
BKV ,Shenshan                      
1F0 ,Shopper360                    
5U8W,SiMSCI 7xLongSG281218         
CYZW,SiMSCI 7xShortSG261029        
RXTW,SiMSCI 7xShortSG280128        
TSCD,SiamCement TH SDR10to1        
URR ,Sim Leisure                   
BKA ,Sin Heng Mach                 
S35 ,Sing Inv & Fin                
FRQ ,Sing Paincare                 
5IC ,SingHoldings                  
S45U,SingIndexFund                 
S08 ,SingPost                      
S19 ,SingShipping                  
5WG ,SingaporeKitchen              
U06 ,SingaporeLandGrp              
Z74 ,Singtel                       
Z77 ,Singtel 10                    
XNEW,Singtel 5xLongSG280307        
HMAW,Singtel 5xLongUB270630        
UVHW,Singtel 5xShortSG261217       
GLJW,Singtel 5xShortSG280516       
YFQW,SingtelMBeCW261030            
NHYW,SingtelMBeCW261229            
45NW,SingtelMBeCW270212            
T4B ,Sino Grandness                
LYY ,SinoCloud Grp                 
C9Q ,Sinostar Pec                  
5LE ,Sitra                         
XZB ,Skylink                       
ZQM ,SoilbuildConstr               
SHE ,Soon Hock                     
5MD ,Soon Lian                     
5KI ,Soup Holdings                 
A33 ,Southern Arch                 
BQP ,Southern Pkg                  
QNS ,SouthernAlliance              
WK4W,SpaceX 3xLongSG280707         
YF1W,SpaceX 3xShortSG280726        
UXSD,SpaceX US SDR 100to1          
S23 ,Spura Finance                 
NC2 ,Sri Trang Agro                
STG ,Sri Trang Gloves              
H07 ,Stamford Land                 
S29 ,Stamford Tyres                
CC3 ,StarHub                       
P40U,StarhillGbl Reit              
SET ,Stoneweg EUTrust EUR          
SEB ,Stoneweg EUTrust SGD          
S85 ,Straco                        
S20 ,Straits Trading               
AAJ ,SunMoonFood                   
LTYW,Sunny 5xLongSG261027          
WF0W,Sunny 5xLongSG280316          
XX8W,Sunny 5xLongUB270630          
UYNW,Sunny 5xShortSG270112         
XBSW,Sunny 5xShortSG280609         
GVPW,Sunny 5xShortUB270630         
5GD ,Sunpower                      
5O6B,Sunpower cb7%300403           
S71 ,Sunright                      
581 ,Sunrise Shares                
BKZ ,Suntar Eco-City               
T82U,Suntec Reit                   
PA3 ,TA                            
TAP ,TAP                           
VI2 ,TC Auto                       
T15 ,TCIL HK$                      
TSYW,TESLA 3xLongSG261006          
TSTW,TESLA 3xLongSG261204US$       
9OPW,TESLA 3xLongSG281123          
TSXW,TESLA 3xShortSG261006         
TSUW,TESLA 3xShortSG261204US$      
RLSW,TESLA 3xShortSG280330         
HQIW,TESLA 5xLongSG280726          
PHJW,TESLA 5xShortSG280726         
T55 ,TIH                           
T14 ,TJ DaRenTang USD              
ITKD,TLKM ID SDR 1to5              
KUH ,TSH                           
TSH ,TSH Resources                 
500 ,Tai Sin Electric              
42L ,Taka Jewellery                
T12 ,Tat Seng Pkg                  
5OQ ,Teho Intl                     
T41 ,TeleChoice Intl               
TEMB,Temasek 1.8% 261124XB#        
9NPW,Tencent 3xLongSG271125        
SPOW,Tencent 3xShortSG271125       
PSJW,Tencent 5xLongSG270930        
YYZW,Tencent 5xLongSG280202        
8ZJW,Tencent 5xLongUB270831        
W7XW,Tencent 5xShortSG270827       
OONW,Tencent 5xShortUB270831       
HTCD,Tencent HK SDR 10to1          
IGYW,TencentMBeCW261005            
WUHW,TencentMBeCW270105            
Y92 ,ThaiBev                       
AWI ,Thakral                       
E27 ,The Place Hldg                
AGS ,TheHourGlass                  
A50 ,Thomson Medical               
BFI ,Tiong Seng                    
BQM ,Tiong Woon                    
TKU ,Toku Ltd                      
BVA ,Top Glove                     
ZVUW,Top GloveW300209              
S2D ,Tosei                         
42F ,Totm Tech                     
BCZ ,Travelite                     
5AB ,Trek 2000 Intl                
42T ,Trendlines                    
CYW ,TrickleStar                   
9ZXW,Trip.com 5xLongSG280223       
HTGD,Trip.com HK SDR 50to1         
5G9 ,Tritech                       
RC5 ,Triyards                      
T24 ,Tuan Sing                     
540 ,Tung Lok Rest                 
BFU ,Tye Soon                      
HUUD,UBTECHRobo HK SDR10to1        
8K7 ,UGHealthcare                  
UIBU,UIBREIT                       
UGS ,ULTRAGREEN AI SGD             
ULG ,ULTRAGREEN AI USD             
558 ,UMS                           
EH5 ,UOA                           
U11 ,UOB                           
W9AW,UOB 5xLongSG261217            
WCBW,UOB 5xLongSG290206            
VMZW,UOB 5xLongUB280731            
9XCW,UOB 5xShortSG261217           
YYOW,UOB 5xShortSG290206           
9AQW,UOB 5xShortUB280731           
GRN ,UOB AP GRN REIT S$            
GRE ,UOB AP GRN REIT US$           
U10 ,UOB Kay Hian                  
Y2FW,UOB MB eCW260930              
9R4W,UOB MB eCW261230              
9R7W,UOB MB eCW270225              
YUZW,UOB MB eCW270226              
KFUW,UOB MB eCW270930              
EPGW,UOB MB ePW260930              
VKGW,UOB MB ePW261230              
YV0W,UOB MB ePW270226              
VB4W,UOB MB ePW270930              
JK8 ,UOBAM FTSE CN A50 S$          
VK8 ,UOBAM FTSE CN A50 US$         
UPD ,UOBAM PA FT ASEAN DV S$       
UPU ,UOBAM PA FT ASEAN DV US$      
CXS ,UOBAM PINGAN CHINEXT S$       
CXU ,UOBAM PINGAN CHINEXT US$      
U13 ,UOI                           
U14 ,UOL                           
OWZW,UOL MB eCW270222              
BRS ,USP Group                     
1D1 ,UnUsUaL                       
CHJ ,Uni-Asia Grp                  
1F2 ,Union Gas                     
ZB9 ,UnionSteel                    
AZR ,United Food                   
BGO ,Universal Res                 
GRQ ,UpHealth Group                
ODBU,UtdHampshReitUSD              
43E ,VCPlus                        
WJP ,VICOM Ltd                     
WPC ,Vallianz                      
T6I ,ValueMax                      
BN2 ,Valuetronics                  
V03 ,Venture                       
QXCW,Venture 5xLongSG280413        
9YJW,Venture 5xLongUB270630        
XLPW,Venture MB eCW270226          
40N ,Versalink                     
BIP ,Vibrant Group                 
BJD ,VibroPower                    
569 ,Vicplas Intl                  
VIN ,Vins Holdings                 
OMK ,Vividthree                    
E3B ,Wee Hur                       
BBT ,White Orchid Fund S           
BDR ,Willas-Array                  
KRMW,Wilmar 5xLongSG261217         
QDYW,Wilmar 5xLongUB270630         
9PXW,Wilmar 5xShortSG270623        
F34 ,Wilmar Intl                   
NWVW,Wilmar MB eCW261130           
ULOW,Wilmar MB eCW270222           
5F7 ,Wilton Resources              
W05 ,Wing Tai                      
WKS ,WinkingStudios                
1A1 ,Wong Fong Ind                 
B49 ,World Precision               
SYOW,XIAOMI MBeCW261103            
MCEW,XIAOMI MBeCW270105            
9PQ ,XMH Hldgs                     
VTMW,XPeng 5xLongSG270216          
YCJW,XPeng 5xLongSG271216          
56UW,XPeng 5xLongSG280622          
IZSW,XPeng 5xLongUB270730          
XFEW,XPeng 5xShortSG280202         
SARW,XPeng 5xShortUB270831         
XSG ,XT MS SING S$                 
O9A ,XT MS SING US$                
TID ,XT MSCHINA S$                 
LG9 ,XT MSCHINA US$                
KJ7 ,XT MSINDO US$                 
KV4 ,XT SingGovBond SG$            
HD9 ,XT Vietnam US$                
XPKW,Xiaomi 3xLongSG271125         
LQEW,Xiaomi 3xShortSG271125        
HPMW,Xiaomi 5xLongSG270216         
Z4LW,Xiaomi 5xLongSG271116         
NHRW,Xiaomi 5xLongSG271216         
JPMW,Xiaomi 5xLongSG280622         
MZNW,Xiaomi 5xLongUB271126         
YW5W,Xiaomi 5xShortSG261223        
HXXD,Xiaomi HK SDR 2to1            
1F1 ,Y Ventures                    
BPF ,YHI Intl                      
YK9 ,YKGI                          
R18W,YZJ 5xLongSG280413            
STYW,YZJ 5xShortSG280413           
YF8 ,YZJ Fin Hldg                  
8YZ ,YZJ Maritime                  
SO7 ,YZJ Shipbldg CNY              
BS6 ,YZJ Shipbldg SGD              
BJV ,Yamada Green Res              
ZLBW,YangzijiMBeCW260930           
V3DW,YangzijiMBeCW261230           
JVVW,YangzijiMBeCW270222           
Z25 ,Yanlord Land                  
Y03 ,Yeo Hiap Seng                 
5DM ,Ying Li Intl                  
Z59 ,Yoma Strategic                
BKX ,Yongmao                       
T43 ,Yunnan Energy                 
40W ,ZICO Hldgs                    
BWM ,Zheneng Jinjiang              
5SR ,Zhongmin Baihui               
5EG ,Zhongxin Fruit                
ZSHW,Zijin 5xLongSG271021          
XB3W,Zijin 5xLongUB271126          
54XW,Zijin 5xShortSG271021         
NVEW,Zijin 5xShortSG280223         
FNNW,Zijin 5xShortUB271126         
HZGD,Zijin Gld HK SDR 10to1        
42W ,Zixin                         
FSZW,iFast MB eCW261229            
WOKW,iFast MB eCW270212            
NXR ,iWOW Tech                     

