269,CRTG
270,GUANGDONG INV
271,ASIASEC PPT
272,SHUI ON LAND
274,RA SILK ROAD
276,MONGOLIA ENERGY
277,TERN PROPERTIES
279,ARTA TECHFIN
280,KING FOOK HOLD
285,BYD ELECTRONIC
286,AIDIGONG
287,WINFAIR INV
288,WH GROUP
289,WING ON CO
290,GOFINTECH QUANT
291,CHINA RES BEER
293,CATHAY PAC AIR
294,YANGTZEKIANG
295,KONG SUN HOLD
296,EMPEROR E HOTEL
297,SINOFERT
298,CHUANG'S CHINA
299,GLORY SUN LAND
300,MIDEA GROUP
301,SANVO CHEMICALS
302,CMGE
303,VTECH HOLDINGS
305,WULING MOTORS
306,KWOON CHUNG BUS
308,CHINA TRAVEL HK
309,XH NEWS MEDIA
310,PROSP INV HOLD
311,LUEN THAI
312,SHIRBLE STORE
313,RICHLY FIELD
314,SIPAI HEALTH
315,SMARTONE TELE
316,OOIL
317,COMEC
318,VONGROUP
320,CTGL
321,TEXWINCA HOLD
322,TINGYI
323,MAANSHAN IRON
325,BLOKS
326,CHINA STAR ENT
327,PAX GLOBAL
328,ALCO HOLDINGS
329,OCI INTL
330,ESPRIT HOLDINGS
331,FSE LIFESTYLE
332,YUANHENG GAS
333,TOP FORM INT'L
334,CH DISPLAY OPT
335,UPBEST GROUP
336,HUABAO INTL
337,GREENLAND HK
338,SHANGHAI PECHEM
339,WEBX HOLDING
340,TONGGUAN GOLD
341,CAFE DE CORAL H
343,CULTURECOM HOLD
345,VITASOY INT'L
346,YANCHANG PETRO
347,ANGANG STEEL
348,CHINAHEALTHWISE
351,ASIA ENERGY LOG
352,FORTUNE SUN
353,ENERGY INTINV
354,CHINASOFT INT'L
355,CENTURY C INT'L
356,DT CAPITAL
357,MEILAN AIRPORT
358,JIANGXI COPPER
360,NEW FOCUS AUTO
361,HANFORT DEV H
362,C ZENITH CHEM
363,SHANGHAI IND H
365,SINO ICT
366,LUKS GROUP (VN)
367,CHUANG'S INT'L
368,SUPERLAND GROUP
369,WING TAI PPT
370,HK ROBOTICS
371,BJ ENT WATER
372,PT INTL DEV
373,ALLIED GROUP
374,FOUR SEAS MER
375,YGM TRADING
376,YUNFENG FIN
377,CHINA HUAJUN GP
379,EG LEASING
380,CHINA PIPE
381,AOM INT'L
382,EDVANTAGE GROUP
383,TIANAN MEDICARE
384,CHINA GAS HOLD
385,CHINNEY ALLI
386,SINOPEC CORP
387,LEEPORT(HOLD)
388,HKEX
389,TONTINE WINES
390,CHINA RAILWAY
391,MEI AH ENTER
392,BEIJING ENT
393,GLORIOUS SUN
396,HING LEE (HK)
397,MINERVA GROUP
398,ORIENTAL WATCH
399,STARCOIN GROUP
400,INGDAN
401,WANJIA GROUP
403,STARLITE HOLD
405,YUEXIU REIT
406,YAU LEE HOLD
408,YIP'S CHEMICAL
410,SOHO CHINA
411,LAM SOON (HK)
412,SDHG
413,SC HOLDINGS
417,TSE SUI LUEN
418,FOUNDER HOLD
419,HONY MEDIA
420,FOUNTAIN SET
422,VMEP HOLDINGS
423,HKET HOLDINGS
425,MINTH GROUP
426,ONE MEDIA GROUP
428,COCOON HOLDINGS
430,ORIENTAL EXPL
432,PCPD
433,NORTH MINING
434,BOYAA
435,SUNLIGHT REIT
436,NU ENVIRO
438,IRICO NEWENERGY
439,GENESIS SCALE
440,DAH SING
442,DOMAINE POWER
444,SINCEREWATCH HK
450,HUNG HING PRINT
451,DYNASTY DIGITAL
455,TIANDA PHARMA
456,NEW CITY DEV
458,TRISTATE HOLD
460,SIHUAN PHARM
464,CHINA IN-TECH
465,FUTONG TECH
467,UNITEDENERGY GP
468,GAPACK
470,WUXI LEAD
471,SILKWAVE INC
472,NEW SILKROAD
474,ACESO LIFE SCI
475,CENTRAL DEV H
476,EV DYNAMICS
480,HKR INT'L
482,SANDMARTIN INTL
483,BAUHAUS INT'L
484,FORGAME
485,CHINASINOSTAR
486,RUSAL
487,SUCCESSUNIVERSE
488,LAI SUN DEV
491,EMPEROR CULTURE
493,GOME RETAIL
496,KASEN
497,CSI PROPERTIES
498,BLUE RIVER HLDG
499,QINGDAO HLDGS
500,FRONTIER SER
501,OMNIVISION
505,XINGYE ALLOY
506,CHINA FOODS
508,DINGYI GP INV
509,SUNSHINE
510,CASH FIN SER GP
511,TVB
512,GRAND PHARMA
513,CONTINENTAL H
515,CHINASILVER TEC
517,COSCO SHIP INTL
518,TUNGTEX (HOLD)
519,NOVAUTEK
520,XIABUXIABU
521,CWT INT'L
522,ASMPT
524,GW TERROIR
525,GUANGSHEN RAIL
526,LISI GP HOLD
527,RF GREEN EN AI
528,KINGDOM HOLDING
529,SIS INT'L
532,WKK INTL (HOLD)
533,GOLDLION HOLD
535,GEMDALE PPT
536,TRADELINK
537,RIGOL
538,AJISEN (CHINA)
540,SPEEDY GLOBAL
542,CN CULTURAL T&A
543,PACIFIC ONLINE
544,DAIDO GROUP
546,FUFENG GROUP
547,DIGITAL DOMAIN
548,SHENZHENEXPRESS
550,ALLEGRO CULTURE
551,YUE YUEN IND
552,CHINACOMSERVICE
553,NANJING PANDA
554,HANS GP HLDGS
556,PAN ASIA ENVIRO
557,TIANYUAN HEALTH
558,LK TECH
559,DETAI NEWENERGY
560,CHU KONG SHIP
563,SH IND URBAN
564,ZCZL
565,ART GROUP HOLD
567,JSMART TECH
568,SHANDONG MOLONG
570,TRAD CHI MED
571,ESUN HOLDINGS
572,FW HOLDINGS
573,TAO HEUNG HLDGS
574,PASHUN INT'L
575,REGENT PACIFIC
